"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"ea2fe744-ad4c-4708-88f1-fa82baa85b86","Galax urceolata","PreservedSpecimen",NA,NA,36.18,-82.08,2012-08-11,2012,8,11
"ed7d66a4-7e9d-4bff-a1e0-af0aed151c21","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",36.4,-81.04,NA,NA,NA,NA
"ef132a9c-162b-4252-9805-771a8cb9c86e","Galax urceolata","PreservedSpecimen",NA,NA,35.64,-83.5,2009-10-07,2009,10,7
"f0623752-8b9f-4291-bbca-b321963efd24","Galax urceolata","PreservedSpecimen",1639,NA,36.41,-80.21,1981-04-14,1981,4,14
"f33205eb-a597-45f9-9a72-f953d65fda04","Galax urceolata","PreservedSpecimen",NA,NA,35.94,-82.9,2015-05-15,2015,5,15
"f40eb9f2-043c-4c3d-b528-9362e6b898f6","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.6,-81.64,NA,NA,NA,NA
"f46f178e-738b-4a39-a2dc-5d47b78209a3","Galax urceolata","PreservedSpecimen",NA,NA,35.65,-83.44,1934-07-20,1934,7,20
"f90abedd-0e2f-4ee7-b3f9-5faddabbedf6","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",34.96,-83.3,NA,NA,NA,NA
"f95facb5-f659-4869-ac71-8b92a1399762","Galax urceolata","PreservedSpecimen",2000,NA,35.63,-83.82,1933-05-11,1933,5,11
"ffd29cd9-6a50-4ed8-99ae-2972fc22892b","Galax urceolata","PreservedSpecimen",420,NA,35.18,-83.56,1962-08-22,1962,8,22
"3455477554","Galax urceolata","HUMAN_OBSERVATION",28620,"Coordinate uncertainty increased to 28620m to protect threatened taxon",35.9,-82.03,2022-01-01,2022,1,1
"3455740945","Galax urceolata","HUMAN_OBSERVATION",2928,NA,34.87,-84.69,2022-01-08,2022,1,8
"3455756345","Galax urceolata","HUMAN_OBSERVATION",164,NA,35.17,-83.62,2022-01-10,2022,1,10
"3455857292","Galax urceolata","HUMAN_OBSERVATION",31,NA,34.6,-85.39,2022-01-19,2022,1,19
"3456024071","Galax urceolata","HUMAN_OBSERVATION",5550,NA,35.79,-81.91,2022-01-11,2022,1,11
"3456235440","Galax urceolata","HUMAN_OBSERVATION",90,NA,33.9,-83.38,2022-01-10,2022,1,10
"3456340161","Galax urceolata","HUMAN_OBSERVATION",122,NA,35.09,-83.26,2022-01-15,2022,1,15
"3456494930","Galax urceolata","HUMAN_OBSERVATION",4,NA,35.38,-76.99,2022-01-09,2022,1,9
"3456798727","Galax urceolata","HUMAN_OBSERVATION",12,NA,35.77,-81.55,2022-01-12,2022,1,12
"3456899418","Galax urceolata","HUMAN_OBSERVATION",74,NA,34.77,-83.91,2022-01-07,2022,1,7
"3456990773","Galax urceolata","HUMAN_OBSERVATION",79,NA,35.03,-83.28,2022-01-12,2022,1,12
"3465963185","Galax urceolata","HUMAN_OBSERVATION",12,NA,35.76,-83.2,2022-01-31,2022,1,31
"3466375255","Galax urceolata","HUMAN_OBSERVATION",28706,"Coordinate uncertainty increased to 28706m at the request of the observer",35.23,-76.98,2022-01-09,2022,1,9
"3466418777","Galax urceolata","HUMAN_OBSERVATION",101,NA,35.54,-83.3,2022-01-30,2022,1,30
"3466488358","Galax urceolata","HUMAN_OBSERVATION",2174,NA,34.94,-82.89,2022-01-26,2022,1,26
"3499341634","Galax urceolata","HUMAN_OBSERVATION",NA,NA,35.66,-83.59,2022-01-19,2022,1,19
"3499572596","Galax urceolata","HUMAN_OBSERVATION",NA,NA,35.68,-83.76,2022-01-19,2022,1,19
"3705387449","Galax urceolata","HUMAN_OBSERVATION",5,NA,36.8,-80.1,2022-01-01,2022,1,1
"3705636479","Galax urceolata","HUMAN_OBSERVATION",4,NA,33.59,-85.69,2022-01-13,2022,1,13
"3705743475","Galax urceolata","HUMAN_OBSERVATION",772,NA,35.51,-83.34,2022-01-12,2022,1,12
"3712581454","Galax urceolata","HUMAN_OBSERVATION",88,NA,34.74,-83.39,2022-01-29,2022,1,29
"3499361790","Galax urceolata","HUMAN_OBSERVATION",28563,"Coordinate uncertainty increased to 28563m at the request of the observer",36.38,-81.23,2022-02-12,2022,2,12
"3499381804","Galax urceolata","HUMAN_OBSERVATION",55,NA,36.33,-84.23,2022-02-13,2022,2,13
"3499413884","Galax urceolata","HUMAN_OBSERVATION",28563,"Coordinate uncertainty increased to 28563m at the request of the observer",36.36,-81.34,2022-02-12,2022,2,12
"3499425983","Galax urceolata","HUMAN_OBSERVATION",4,NA,35.7,-83.41,2022-02-15,2022,2,15
"3499496716","Galax urceolata","HUMAN_OBSERVATION",22,NA,36.16,-81.51,2022-02-11,2022,2,11
"3698058904","Galax urceolata","HUMAN_OBSERVATION",4,NA,34.58,-84.08,2022-02-20,2022,2,20
"3698115770","Galax urceolata","HUMAN_OBSERVATION",10,NA,35.76,-83.16,2022-02-21,2022,2,21
"3698249675","Galax urceolata","HUMAN_OBSERVATION",2513,NA,35.09,-82.92,2022-02-19,2022,2,19
"3705451504","Galax urceolata","HUMAN_OBSERVATION",9,NA,36.91,-82.63,2022-02-23,2022,2,23
"3705478913","Galax urceolata","HUMAN_OBSERVATION",NA,NA,35.48,-82.34,2022-02-27,2022,2,27
"3705492493","Galax urceolata","HUMAN_OBSERVATION",7034,NA,36.7,-80.7,2022-02-22,2022,2,22
"3705496487","Galax urceolata","HUMAN_OBSERVATION",179,NA,34.69,-83.77,2022-02-21,2022,2,21
"3705723519","Galax urceolata","HUMAN_OBSERVATION",34,NA,34.82,-83.3,2022-02-23,2022,2,23
"3759207880","Galax urceolata","HUMAN_OBSERVATION",4,NA,35.6,-83.86,2022-02-14,2022,2,14
"3759874823","Galax urceolata","HUMAN_OBSERVATION",4,NA,35.68,-83.48,2022-02-15,2022,2,15
"3705572017","Galax urceolata","HUMAN_OBSERVATION",NA,NA,34.64,-84.18,2022-03-01,2022,3,1
"3712659682","Galax urceolata","HUMAN_OBSERVATION",4,NA,37.24,-80.09,2022-03-04,2022,3,4
"3712734258","Galax urceolata","HUMAN_OBSERVATION",4,NA,34.59,-84.21,2022-03-09,2022,3,9
"3743276047","Galax urceolata","HUMAN_OBSERVATION",4,NA,34.74,-83.93,2022-03-08,2022,3,8
"3746957800","Galax urceolata","HUMAN_OBSERVATION",NA,NA,37.98,-80.95,2022-03-19,2022,3,19
"3746993203","Galax urceolata","HUMAN_OBSERVATION",28592,"Coordinate uncertainty increased to 28592m to protect threatened taxon",36.13,-81.63,2022-03-22,2022,3,22
"3746999665","Galax urceolata","HUMAN_OBSERVATION",NA,NA,35.7,-83.12,2022-03-17,2022,3,17
"3747007741","Galax urceolata","HUMAN_OBSERVATION",4,NA,35.08,-82.6,2022-03-20,2022,3,20
"3747009504","Galax urceolata","HUMAN_OBSERVATION",5222,NA,33.74,-84.69,2022-03-06,2022,3,6
"3747023743","Galax urceolata","HUMAN_OBSERVATION",4,NA,34.37,-85.63,2022-03-19,2022,3,19
"3747024807","Galax urceolata","HUMAN_OBSERVATION",3228,NA,35.07,-82.61,2022-03-20,2022,3,20
"3747085500","Galax urceolata","HUMAN_OBSERVATION",28649,"Coordinate uncertainty increased to 28649m to protect threatened taxon",35.63,-82.24,2022-03-08,2022,3,8
"3747089013","Galax urceolata","HUMAN_OBSERVATION",46,NA,35.03,-82.7,2022-03-21,2022,3,21
"3747105777","Galax urceolata","HUMAN_OBSERVATION",28706,"Coordinate uncertainty increased to 28706m to protect threatened taxon",35.31,-82.83,2022-03-19,2022,3,19
"3747159713","Galax urceolata","HUMAN_OBSERVATION",4,NA,35.16,-82.75,2022-03-04,2022,3,4
"3747190875","Galax urceolata","HUMAN_OBSERVATION",28534,"Coordinate uncertainty increased to 28534m to protect threatened taxon",36.49,-81.16,2022-03-20,2022,3,20
"3747222195","Galax urceolata","HUMAN_OBSERVATION",NA,NA,35.48,-82.61,2022-03-22,2022,3,22
"3759102805","Galax urceolata","HUMAN_OBSERVATION",4,NA,34.8,-83.13,2022-03-05,2022,3,5
"3759127159","Galax urceolata","HUMAN_OBSERVATION",4,NA,35.62,-83.78,2022-03-26,2022,3,26
